alternate_id,collection_date,collection_year,collection_month,collection_day,location2,length_mm,length_type,weight_g,lifestage,sex,o18_sample_id,d_c13,d_o18
23g008ng_3,20230226,2023,2,26,CI-outside,660,fork,3870,5,1,1,-1.088794663,1.330352703
23g008ng_4,20230226,2023,2,26,CI-outside,680,fork,4230,4,1,2,-1.198235839,1.82884525
23g008ng_5,20230226,2023,2,26,CI-outside,620,fork,3310,4,1,3,-0.621145703,2.111675925
23g008ng_6,20230226,2023,2,26,CI-outside,580,fork,2630,5,1,4,-0.472119787,1.81545285
23g008ng_7,20230226,2023,2,26,CI-outside,710,fork,4530,4,1,5,-0.933082817,1.860326513
23g008ng_8,20230226,2023,2,26,CI-outside,680,fork,4370,4,1,6,-1.721741427,1.552155039
23g008ng_9,20230226,2023,2,26,CI-outside,820,fork,7310,4,2,7,-1.875168297,2.363249235
23g008ng_10,20230226,2023,2,26,CI-outside,620,fork,3210,4,1,8,-0.639164841,1.646839062
23g023ci_1,20230406,2023,4,6,CI-outside,650,fork,3500,7,2,9,-0.95607826,2.565184484
23g023ci_3,20230406,2023,4,6,CI-outside,860,fork,6690,6,2,10,-1.102891105,1.9271252
23g023ci_5,20230406,2023,4,6,CI-outside,830,fork,6270,7,2,11,-0.424207003,1.729934444
23g023ci_7,20230406,2023,4,6,CI-outside,810,fork,5170,6,2,12,-1.79871647,1.648244879
23g023ci_8,20230406,2023,4,6,CI-outside,710,fork,3610,6,2,13,-0.557299452,2.686754578
23g023ci_9,20230406,2023,4,6,CI-outside,680,fork,2960,7,2,14,-0.803307172,1.625552192
23g023ci_10,20230406,2023,4,6,CI-outside,690,fork,3470,7,2,15,-1.061649914,2.470760407
23g051pw_1,20230324,2023,3,24,PWS-outside,570,fork,2040,5,1,16,-0.169648642,2.318262906
23g051pw_4,20230324,2023,3,24,PWS-outside,720,fork,3810,7,1,17,-0.363062941,1.923141048
23g051pw_5,20230324,2023,3,24,PWS-outside,700,fork,3270,7,1,18,-0.892091221,2.144509788
23g051pw_6,20230324,2023,3,24,PWS-outside,680,fork,3350,6,2,19,-0.407445499,2.180534804
23g051pw_7,20230324,2023,3,24,PWS-outside,700,fork,3360,6,2,20,-0.723540023,1.917269064
23g051pw_8,20230324,2023,3,24,PWS-outside,800,fork,5420,6,2,21,-0.818039741,1.99287583
23g051pw_9,20230324,2023,3,24,PWS-outside,640,fork,2390,6,2,22,-0.266226877,1.799075124
23g051pw_10,20230324,2023,3,24,PWS-outside,870,fork,6890,6,2,23,-0.646922253,1.683340127
23g051pw_12,20230324,2023,3,24,PWS-outside,740,fork,3790,7,1,24,-1.655951946,1.813396839
23g051pw_13,20230324,2023,3,24,PWS-outside,690,fork,3140,7,1,25,-1.634867731,2.113492331
23g051pw_14,20230324,2023,3,24,PWS-outside,590,fork,2100,6,2,26,-0.859604425,0.791890559
23g051pw_15,20230324,2023,3,24,PWS-outside,810,fork,5540,6,2,27,-0.802884039,2.142077097
23g051pw_16,20230324,2023,3,24,PWS-outside,680,fork,3120,7,1,28,-0.4902749,2.136138315
23g051pw_17,20230324,2023,3,24,PWS-outside,720,fork,4260,4,2,29,-1.578804486,1.673381144
23g051pw_18,20230324,2023,3,24,PWS-outside,610,fork,1980,6,2,30,-1.233371308,1.900971771
23g051pw_19,20230324,2023,3,24,PWS-outside,530,fork,1500,6,2,31,-1.932952008,0.749487575
23g051pw_20,20230324,2023,3,24,PWS-outside,640,fork,3550,5,1,32,-0.955868566,1.63912016
23g051pw_21,20230324,2023,3,24,PWS-outside,660,fork,2270,5,1,33,-0.318815427,1.996203192
23g051pw_22,20230324,2023,3,24,PWS-outside,700,fork,2940,6,2,34,-0.695557669,1.799545731
23g051pw_24,20230324,2023,3,24,PWS-outside,660,fork,2870,6,2,35,-0.768150269,1.943638257
23g051pw_27,20230324,2023,3,24,PWS-outside,790,fork,5800,4,2,36,-0.796215012,2.128771006
23g051pw_28,20230324,2023,3,24,PWS-outside,790,fork,5580,6,2,37,-1.483573752,2.065726989
23g051pw_30,20230324,2023,3,24,PWS-outside,670,fork,3390,4,2,38,-0.45265972,2.248786771
23g051pw_31,20230324,2023,3,24,PWS-outside,680,fork,3330,6,2,39,-0.60812056,1.819738386
23g051pw_32,20230324,2023,3,24,PWS-outside,740,fork,4250,6,2,40,-0.619866509,1.914079973
23g051pw_33,20230324,2023,3,24,PWS-outside,630,fork,2780,6,1,41,-0.756588311,1.603733132
23g051pw_34,20230324,2023,3,24,PWS-outside,760,fork,4230,6,2,42,-1.418904827,1.956768301
23g051pw_35,20230324,2023,3,24,PWS-outside,640,fork,2880,7,1,43,-1.163190647,1.512687715
23g051pw_36,20230324,2023,3,24,PWS-outside,760,fork,4430,7,1,44,-1.583055828,1.906833066
23g051pw_38,20230324,2023,3,24,PWS-outside,720,fork,3790,7,1,45,-0.871515632,2.021258373
23g051pw_41,20230324,2023,3,24,PWS-outside,760,fork,4510,7,1,46,-1.511198187,1.83646084
23g051pw_42,20230324,2023,3,24,PWS-outside,750,fork,4060,6,2,47,-0.772543077,2.458332623
23g051pw_43,20230324,2023,3,24,PWS-outside,680,fork,3450,4,2,48,-1.175170222,2.066202738
23g051pw_44,20230324,2023,3,24,PWS-outside,710,fork,3210,6,1,49,-1.217138432,2.254073983
23g051pw_45,20230324,2023,3,24,PWS-outside,700,fork,3410,7,1,50,-1.865901371,1.584261019
23g051pw_46,20230324,2023,3,24,PWS-outside,640,fork,2450,6,1,51,-0.454790923,1.585295992
23g051pw_47,20230324,2023,3,24,PWS-outside,790,fork,5960,5,2,52,-1.104093928,2.391825557
23g051pw_48,20230324,2023,3,24,PWS-outside,740,fork,4010,7,1,53,-1.497070953,1.808595487
23g043pw_2,20230322,2023,3,22,PWS-inside,540,fork,1460,2,1,54,-0.993925682,1.857675506
23g043pw_3,20230322,2023,3,22,PWS-inside,650,fork,2190,6,1,55,-1.615791631,2.17508653
23g043pw_4,20230322,2023,3,22,PWS-inside,550,fork,2010,2,2,56,-1.409857305,0.994137849
23g043pw_5,20230322,2023,3,22,PWS-inside,660,fork,3840,4,2,57,-1.241591232,1.723185592
23g043pw_6,20230322,2023,3,22,PWS-inside,480,fork,1090,2,1,58,-1.453330435,1.120932744
23g043pw_8,20230322,2023,3,22,PWS-inside,740,fork,4000,7,1,59,-1.383861843,2.008872331
23g043pw_9,20230322,2023,3,22,PWS-inside,340,fork,470,2,2,60,-1.34526243,0.678805672
23g043pw_10,20230322,2023,3,22,PWS-inside,700,fork,3380,6,2,61,-1.151975552,2.169410603
23g043pw_11,20230322,2023,3,22,PWS-inside,610,fork,2130,6,2,62,-0.707369458,1.805371514
23g043pw_12,20230322,2023,3,22,PWS-inside,710,fork,4010,5,1,63,-0.87447291,2.043760997
23g043pw_13,20230322,2023,3,22,PWS-inside,520,fork,1620,2,1,64,-1.099805035,1.481996133
23g043pw_14,20230322,2023,3,22,PWS-inside,550,fork,1660,2,1,65,-0.908887027,1.495137975
23g043pw_15,20230322,2023,3,22,PWS-inside,670,fork,3390,5,1,66,0.055770567,1.765146367
23g043pw_16,20230322,2023,3,22,PWS-inside,780,fork,4180,6,1,67,-1.366087082,1.564549354
23g043pw_17,20230322,2023,3,22,PWS-inside,670,fork,3300,7,2,68,-0.780015327,1.72801099
23g043pw_18,20230322,2023,3,22,PWS-inside,530,fork,1480,2,1,69,-2.058607408,1.32287565
23g043pw_19,20230322,2023,3,22,PWS-inside,540,fork,1670,2,2,70,-1.031395552,1.811680065
23g043pw_20,20230322,2023,3,22,PWS-inside,840,fork,6430,6,2,71,-1.303834158,1.504931028
23g043pw_21,20230322,2023,3,22,PWS-inside,650,fork,2770,6,1,72,-0.551601652,1.433398592
23g043pw_22,20230322,2023,3,22,PWS-inside,450,fork,900,1,1,73,-1.127678083,1.438502589
23g043pw_23,20230322,2023,3,22,PWS-inside,540,fork,1660,2,1,74,-1.062216735,1.261705367
23g043pw_24,20230322,2023,3,22,PWS-inside,700,fork,3970,5,1,75,-1.71979146,2.088551579
23g043pw_25,20230322,2023,3,22,PWS-inside,670,fork,2680,9,1,76,-0.899400212,1.629203399
23g043pw_26,20230322,2023,3,22,PWS-inside,600,fork,2430,2,2,77,-0.662103812,1.114247311
23g043pw_27,20230322,2023,3,22,PWS-inside,650,fork,2690,6,2,78,-0.268682828,1.949533318
23g043pw_29,20230322,2023,3,22,PWS-inside,720,fork,3510,6,2,79,-1.242676376,1.725033793
23g043pw_30,20230322,2023,3,22,PWS-inside,500,fork,1330,2,2,80,-1.384380619,1.254440944
23g043pw_33,20230322,2023,3,22,PWS-inside,510,fork,1420,2,1,81,-0.874260331,1.42145498
23g043pw_34,20230322,2023,3,22,PWS-inside,500,fork,1380,2,1,82,-0.303238685,1.552987328
23g043pw_35,20230322,2023,3,22,PWS-inside,670,fork,3420,6,2,83,-0.830705288,1.656130383
23g043pw_36,20230322,2023,3,22,PWS-inside,680,fork,3180,7,1,84,-0.853184523,1.034311561
23g043pw_37,20230322,2023,3,22,PWS-inside,570,fork,1770,9,1,85,-1.325248645,1.501114313
23g043pw_38,20230322,2023,3,22,PWS-inside,810,fork,6140,6,2,86,-1.339249905,1.764053115
